PRODLIST-Ind 2022,NCM 2022 (SET/2022),PRODLIST Ind 2019,NCM 2019,PRODLIST Ind 2016,NCM 2016
0500.2010,2701.19.00,,,,
0500.2030,2701.11.00,,,,
0500.2030,2701.12.00,,,,
0500.2030,2701.19.00,,,,
0500.2030,2702.10.00,,,,
0600.2010,2711.11.00,,,,
0600.2010,2711.21.00,,,,
0600.2020,2709.00.90,,,,
0600.2030,2709.00.10,,,,
0600.2040,2714.10.00,,,,
0710.2015,2601.11.00,,,,
0710.2015,2601.12.10,,,,
0710.2015,2601.12.90,,,,
0710.2030,2601.11.00,,,,
0710.2030,2601.12.10,,,,
0710.2030,2601.12.90,,,,
0721.2010,2606.00.11,,,,
0721.2010,2606.00.12,,,,
0721.2010,2606.00.90,,,,
0722.2010,2609.00.00,,,,
0723.2010,2602.00.10,,,,
0723.2010,2602.00.90,,,,
0724.2010,2616.90.00,,,,
0724.2020,2616.90.00,,,,
0724.2030,2616.10.00,,,,
0725.2010,2612.10.00,,,,
0725.2010,2612.20.00,,,,
0729.2010,2611.00.00,,,,
0729.2010,2617.10.00,,,,
0729.2010,2617.90.00,,,,
0729.2020,2607.00.00,,,,
0729.2030,2605.00.00,,,,
0729.2040,2603.00.10,,,,
0729.2040,2603.00.90,,,,
0729.2050,2610.00.10,,,,
0729.2050,2610.00.90,,,,
0729.2060,2613.10.10,,,,
0729.2060,2613.10.90,,,,
0729.2060,2613.90.10,,,,
0729.2060,2613.90.90,,,,
0729.2070,2615.10.10,,,,
0729.2070,2615.10.20,,,,
0729.2070,2615.10.90,,,,
0729.2070,2615.90.00,,,,
0729.2080,2604.00.00,,,,
0729.2090,2614.00.10,,,,
0729.2090,2614.00.90,,,,
0729.2100,2608.00.10,,,,
0729.2100,2608.00.90,,,,
0810.2020,2515.20.00,,,,
0810.2030,2508.50.00,,,,
0810.2030,2508.60.00,,,,
0810.2040,2514.00.00,,,,
0810.2055,2505.10.00,,,,
0810.2055,2505.90.00,,,,
0810.2070,2516.20.00,,,,
0810.2070,2516.90.00,,,,
0810.2080,2507.00.90,,,,
0810.2090,2508.40.10,,,,
0810.2090,2508.40.90,,,,
0810.2100,2508.30.00,,,,
0810.2110,2508.70.00,,,,
