Cod_atv;Atividade de Divulgação - SCN 2010;Cod_CNAE;Classe Cnae 2.0 (4 dígitos)
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0111;Cultivo de cereais
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0112;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0113;Cultivo de cana-de-açúcar
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0114;Cultivo de fumo
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0115;Cultivo de soja
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0116;Cultivo de oleaginosas de lavoura temporária, exceto soja
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0119;Cultivo de plantas de lavoura temporária não especificadas anteriormente
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0121;Horticultura
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0122;Cultivo de flores e plantas ornamentais
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0131;Cultivo de laranja
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0132;Cultivo de uva
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0133;Cultivo de frutas de lavoura permanente, exceto laranja e uva
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0134;Cultivo de café
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0135;Cultivo de cacau
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0139;Cultivo de plantas de lavoura permanente não especificadas anteriormente
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0141;Produção de sementes certificadas
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0142;Produção de mudas e outras formas de propagação vegetal, certificadas
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0161;Atividades de apoio à agricultura
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0163;Atividades de pós-colheita
0192;Pecuária, inclusive o apoio à pecuária;0151;Criação de bovinos
0192;Pecuária, inclusive o apoio à pecuária;0152;Criação de outros animais de grande porte
0192;Pecuária, inclusive o apoio à pecuária;0153;Criação de caprinos e ovinos
0192;Pecuária, inclusive o apoio à pecuária;0154;Criação de suínos
0192;Pecuária, inclusive o apoio à pecuária;0155;Criação de aves
0192;Pecuária, inclusive o apoio à pecuária;0159;Criação de animais não especificados anteriormente
0192;Pecuária, inclusive o apoio à pecuária;0162;Atividades de apoio à pecuária
0192;Pecuária, inclusive o apoio à pecuária;0170;Caça e serviços relacionados
0280;"Produção florestal; pesca e aquicultura";0210;Produção florestal - florestas plantadas
0280;"Produção florestal; pesca e aquicultura";0220;Produção florestal - florestas nativas
0280;"Produção florestal; pesca e aquicultura";0230;Atividades de apoio à produção florestal
0280;"Produção florestal; pesca e aquicultura";0311;Pesca em água salgada
0280;"Produção florestal; pesca e aquicultura";0312;Pesca em água doce
0280;"Produção florestal; pesca e aquicultura";0321;Aqüicultura em água salgada e salobra
0280;"Produção florestal; pesca e aquicultura";0322;Aqüicultura em água doce
0580;Extração de carvão mineral e de minerais não-metálicos;0500;Extração de carvão mineral
0580;Extração de carvão mineral e de minerais não-metálicos;0810;Extração de pedra, areia e argila
0580;Extração de carvão mineral e de minerais não-metálicos;0891;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos
0580;Extração de carvão mineral e de minerais não-metálicos;0892;Extração e refino de sal marinho e sal-gema
0580;Extração de carvão mineral e de minerais não-metálicos;0893;Extração de gemas (pedras preciosas e semipreciosas)
0580;Extração de carvão mineral e de minerais não-metálicos;0899;Extração de minerais não-metálicos não especificados anteriormente
0680;Extração de petróleo e gás, inclusive as atividades de apoio;0600;Extração de petróleo e gás natural
0680;Extração de petróleo e gás, inclusive as atividades de apoio;0910;Atividades de apoio à extração de petróleo e gás natural
0680;Extração de petróleo e gás, inclusive as atividades de apoio;0990;Atividades de apoio à extração de minerais, exceto petróleo e gás natural
0791;Extração de minério de ferro, inclusive beneficiamentos e a aglomeração;0710;Extração de minério de ferro
0792;Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos;0721;Extração de minério de alumínio
0792;Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos;0722;Extração de minério de estanho
0792;Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos;0723;Extração de minério de manganês
0792;Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos;0724;Extração de minério de metais preciosos
0792;Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos;0725;Extração de minerais radioativos
0792;Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos;0729;Extração de minerais metálicos não-ferrosos não especificados anteriormente
1091;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;1011;Abate de reses, exceto suínos
1091;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;1012;Abate de suínos, aves e outros pequenos animais
1091;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;1013;Fabricação de produtos de carne
1091;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;1020;Preservação do pescado e fabricação de produtos do pescado
1091;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;1051;Preparação do leite
1091;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;1052;Fabricação de laticínios
1091;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;1053;Fabricação de sorvetes e outros gelados comestíveis
1092;Fabricação e refino de açúcar;1071;Fabricação de açúcar em bruto
1092;Fabricação e refino de açúcar;1072;Fabricação de açúcar refinado
1093;Outros produtos alimentares;1031;Fabricação de conservas de frutas
1093;Outros produtos alimentares;1032;Fabricação de conservas de legumes e outros vegetais
1093;Outros produtos alimentares;1033;Fabricação de sucos de frutas, hortaliças e legumes
1093;Outros produtos alimentares;1041;Fabricação de óleos vegetais em bruto, exceto óleo de milho
1093;Outros produtos alimentares;1042;Fabricação de óleos vegetais refinados, exceto óleo de milho
1093;Outros produtos alimentares;1043;Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais
1093;Outros produtos alimentares;1061;Beneficiamento de arroz e fabricação de produtos do arroz
1093;Outros produtos alimentares;1062;Moagem de trigo e fabricação de derivados
1093;Outros produtos alimentares;1063;Fabricação de farinha de mandioca e derivados
1093;Outros produtos alimentares;1064;Fabricação de farinha de milho e derivados, exceto óleos de milho
1093;Outros produtos alimentares;1065;Fabricação de amidos e féculas de vegetais e de óleos de milho
1093;Outros produtos alimentares;1066;Fabricação de alimentos para animais
1093;Outros produtos alimentares;1069;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente
1093;Outros produtos alimentares;1081;Torrefação e moagem de café
1093;Outros produtos alimentares;1082;Fabricação de produtos à base de café
1093;Outros produtos alimentares;1091;Fabricação de produtos de panificação
1093;Outros produtos alimentares;1092;Fabricação de biscoitos e bolachas
1093;Outros produtos alimentares;1093;Fabricação de produtos derivados do cacau, de chocolates e confeitos
1093;Outros produtos alimentares;1094;Fabricação de massas alimentícias
1093;Outros produtos alimentares;1095;Fabricação de especiarias, molhos, temperos e condimentos
1093;Outros produtos alimentares;1096;Fabricação de alimentos e pratos prontos
1093;Outros produtos alimentares;1099;Fabricação de produtos alimentícios não especificados anteriormente
1100;Fabricação de bebidas;1111;Fabricação de aguardentes e outras bebidas destiladas
1100;Fabricação de bebidas;1112;Fabricação de vinho
1100;Fabricação de bebidas;1113;Fabricação de malte, cervejas e chopes
1100;Fabricação de bebidas;1121;Fabricação de águas envasadas
1100;Fabricação de bebidas;1122;Fabricação de refrigerantes e de outras bebidas não-alcoólicas
1200;Fabricação de produtos do fumo;1210;Processamento industrial do fumo
1200;Fabricação de produtos do fumo;1220;Fabricação de produtos do fumo
1300;Fabricação de produtos têxteis;1311;Preparação e fiação de fibras de algodão
1300;Fabricação de produtos têxteis;1312;Preparação e fiação de fibras têxteis naturais, exceto algodão
1300;Fabricação de produtos têxteis;1313;Fiação de fibras artificiais e sintéticas
1300;Fabricação de produtos têxteis;1314;Fabricação de linhas para costurar e bordar
1300;Fabricação de produtos têxteis;1321;Tecelagem de fios de algodão
1300;Fabricação de produtos têxteis;1322;Tecelagem de fios de fibras têxteis naturais, exceto algodão
1300;Fabricação de produtos têxteis;1323;Tecelagem de fios de fibras artificiais e sintéticas
